Bundesland,Ladenname,Name Besitzer,Ort,Besonderes,Webseite,OnlineShop,FaceBook,Instagram
Nordrhein-Westfalen,Füllbar,"Susanna, Lisa, Katharina, Max, Lisa, Julian, Rosa, Jenny und Anna Lena. Ein junges engagiertes umweltbewusstes Team, das hauptsächlich aus Studenten besteht.","Steinstraße 15, Witten",Füllbar bietet nicht nur vegane sondern auch glutenfreie Produkte an. Zudem verschaffen Links und Filme auf der Website Klarheit zum Thema Umweltschutz.,['www.fuellbar-witten.de'],,,
Nordrhein-Westfalen,Frau Lose Dortmund,Hannah Fischer,"Missundestraße 51, Dortmund","Ein Ort zum Verweilen, Genießen und Experimentieren. Sind noch mitten im Planen und Entwickeln – im Finden und Gefunden werden.",['www.frau-lose.de/wordpress'],,,
Nordrhein-Westfalen,Duisburg Unverpackt,Andrea Langwald und Lucas Langwald,"Blumenstraße 4, Duisburg",Erster Unverpackt-Laden in Duisburg. Eröffnet am 13. Juli 2019.,"['www.duisburg-unverpackt.de', 'oder', 'www.facebook.de/duisburgunverpackt']",,,
Nordrhein-Westfalen,Unverpackt Siegen,Siegerländer*innen,"Hauptmarkt 20, Siegen",Ein Laden als Genossenschaft.,['unverpackt-siegen.de'],,,
Nordrhein-Westfalen,Krämerladen Wermelskirchen,Jochen Schmees,"Kölner Str. 46, Wermelskirchen",Erster Unverpackt-Laden im Bergischen Land.,['www.kraemerladen-wk.de'],,,
Nordrhein-Westfalen,Lose und gut,Jennifer Feige-Großkopf,"Europaplatz 22, Bocholt",Erster Unverpackt Laden in Bocholt.,['www.lose-und-gut.de'],,,
Nordrhein-Westfalen,Randvoll – Café & Unverpacktes,Claudia Grawe,"Kaarster Str. 45, Karst",Der erste Unverpackt-Laden im Rhein-Kreis Neuss. Neben Unverpacktem gibt es hier auch ein angeschlossenes Café mit saisonalen Kuchen oder frisch gebackene Waffeln und Müslivariationen zum Frühstück.,['www.randvoll-unverpackt.de'],,,
Nordrhein-Westfalen,Local unverpackt,Norman Schröder und Nils Hermanns,"Lintorfer Str. 27-29, Ratingen","Im Local gib es alles für einen müllfreien Alltag und das überwiegend in Bio-Qualität und fair. Was im Laden nicht zu finden ist, kann auf Anfrage bestellt werden. Nicht verkauftes Obst und Gemüse wird im eigenen Bistro täglich zu vegan/vegetarischen Snacks und Kuchen verarbeitet.",['local-ratingen.de'],,,
Nordrhein-Westfalen,et Bönnsche Lädche,Durziijalbuu Sengee,"Wilhelmsplatz 4, 53111 Bonn",Erster Unverpackt-Laden im Herzen von Bonn. Bioprodukte – viele davon regional. Gemütliches Lädchen mit Charme.,['https://httpwww.lieberunverpackt.de/'],,,
Nordrhein-Westfalen,Einfach Lose,Regina Hopp-Konrad,"Hauptstr. 154, Troisdorf",Erster Unverpackt-Laden in Troisdorf. Regionale Produkte aus nachhaltiger Erzeugung.,['https://www.einfach-lose.de/'],,,
